Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Country
spotify:track:7K3BhSpAxZBznislvUMVtn,Last Night,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,spotify:album:6i7mF7whyRJuLJ4ogbH2wh,One Thing At A Time,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,3/3/2023,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,1,2,163854,https://p.scdn.co/mp3-preview/48760562c770591058c71d16a5ac81d3833e72d2?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,87,USUG12300802,spotify:user:,2023-04-06T09:41:46Z,0.492,0.675,6,-5.456,1,0.0389,0.467,0,0.142,0.478,203.759,4,US
spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,SZA,spotify:album:1nrVofqDRs7cpWXJ49qTnP,SOS,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,SZA,12/8/2022,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,1,2,153946,https://p.scdn.co/mp3-preview/4bd2dc84016f3743add7eea8b988407b1b900672?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,95,USRC12204584,spotify:user:,2023-04-06T09:41:46Z,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4,US
spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,"spotify:artist:78rUTD7y6Cy67W1RVzYs7t, spotify:artist:3LZZPxNDGDFVSIPqf4JuEf","PinkPantheress, Ice Spice",spotify:album:6cVfHBcp3AdpYY0bBglkLN,Boy's a liar Pt. 2,"spotify:artist:78rUTD7y6Cy67W1RVzYs7t, spotify:artist:3LZZPxNDGDFVSIPqf4JuEf","PinkPantheress, Ice Spice",2/3/2023,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,1,1,131013,https://p.scdn.co/mp3-preview/543d8d09a5530a1ab94dd0c6f83fc4ee3e0d7f96?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,97,GBAYE2300015,spotify:user:,2023-04-06T09:41:46Z,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4,US
spotify:track:3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,"spotify:artist:0XeEobZplHxzM9QzFQWLiR, spotify:artist:12GqGscKJx3aE4t07u7eVZ","Eslabon Armado, Peso Pluma",spotify:album:3Mm1P5CEEAiuJqBclr2EyU,Ella Baila Sola,"spotify:artist:0XeEobZplHxzM9QzFQWLiR, spotify:artist:12GqGscKJx3aE4t07u7eVZ","Eslabon Armado, Peso Pluma",3/16/2023,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,1,1,165671,https://p.scdn.co/mp3-preview/5d39f3e17f1e20e2711d033001e48b8d4249b992?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,93,USE7D2300007,spotify:user:,2023-04-06T09:41:46Z,0.668,0.758,5,-5.176,0,0.0332,0.483,0.0000189,0.0837,0.834,147.989,3,US
spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Flowers,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,spotify:album:0HiZ8fNXwJOQcrf5iflrdz,Endless Summer Vacation,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,3/10/2023,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46,1,1,200600,https://p.scdn.co/mp3-preview/5184d19d1b7fcc3e7c067e38af45a7cc80851440?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,89,USSM12209777,spotify:user:,2023-04-06T09:41:46Z,0.707,0.681,0,-4.325,1,0.0668,0.0632,0.00000515,0.0322,0.646,117.999,4,US
spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,SLUT ME OUT,spotify:artist:0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,spotify:album:48868AJJd7JVl1IVmaBsaQ,SLUT ME OUT,spotify:artist:0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,4/22/2022,https://i.scdn.co/image/ab67616d0000b27349a4f6c9a637e02252a0076d,1,1,123672,https://p.scdn.co/mp3-preview/84ef49a1e71bdac04b7dfb1dea3a56d1ffc50357?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,83,USWB12200942,spotify:user:,2023-04-06T09:41:46Z,0.938,0.606,6,-6.396,0,0.419,0.117,0,0.528,0.706,121.108,4,US
spotify:track:6OfOzTitafSnsaunQLuNFw,DOGTOOTH,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,"Tyler\, The Creator",spotify:album:1GG6U2SSJPHO6XsFiBzxYv,CALL ME IF YOU GET LOST: The Estate Sale,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,"Tyler\, The Creator",3/31/2023,https://i.scdn.co/image/ab67616d0000b273aa95a399fd30fbb4f6f59fca,1,21,161041,https://p.scdn.co/mp3-preview/5de4c8c30108bc114f9f38a28ac0832936a852bf?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,75,USQX92301932,spotify:user:,2023-04-06T09:41:46Z,0.706,0.648,8,-6.348,1,0.324,0.505,0,0.215,0.802,77.533,4,US
spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),"spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:1URnnhqYAYcrqrcwql10ft","Metro Boomin, The Weeknd, 21 Savage",spotify:album:7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,12/2/2022,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,1,10,221520,https://p.scdn.co/mp3-preview/adc5d059e4ccc40bbad75f3844eb03546d9ab05a?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,96,USUG12208791,spotify:user:,2023-04-06T09:41:46Z,0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4,US
spotify:track:4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,spotify:album:2FD6g8bXEn2uQMYbeqqoCg,Just Wanna Rock,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,10/17/2022,https://i.scdn.co/image/ab67616d0000b2730e34fd68e8ff04e4515eb72a,1,1,123890,https://p.scdn.co/mp3-preview/72dce26448e87be36c3776ded36b75a9fd01359e?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,91,USAT22219211,spotify:user:,2023-04-06T09:41:46Z,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4,US
spotify:track:5W4kiM2cUYBJXKRudNyxjW,You Proof,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,spotify:album:6i7mF7whyRJuLJ4ogbH2wh,One Thing At A Time,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,3/3/2023,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,1,16,157477,https://p.scdn.co/mp3-preview/4ad8dc44f64affca6a646bee5d0ec8899bca67e0?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,83,USUG12203266,spotify:user:,2023-04-06T09:41:46Z,0.732,0.839,9,-5.007,1,0.0345,0.265,0,0.602,0.629,119.724,4,US
